date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 04:52,1026,0,0,0,10.73,79.2,0,13.75
02/10/2015 04:53,1026,0,0,0,10.78,79.1,0,13.75
02/10/2015 04:54,1026,0,0,0,10.78,79.1,0,13.75
02/10/2015 04:55,1026,0,0,0,10.77,79,0,13.75
02/10/2015 04:56,1026,0,0,0,10.77,79,0,13.75
02/10/2015 04:57,1026,0,0,0,10.72,79.1,0,13.75
02/10/2015 04:58,1026,0,0,0,10.73,79.2,0,13.75
02/10/2015 04:59,1026,0,0,0,10.78,79.3,0,13.75
02/10/2015 05:00,1026,0,0,0,10.77,79.3,0,13.75
02/10/2015 05:01,1026,0,0,0,10.77,79.4,0,13.75
02/10/2015 05:02,1026,0,0,0,10.74,79.4,0,13.75
02/10/2015 05:03,1026,0,0,0,10.77,79.3,0,13.75
02/10/2015 05:04,1026,0,0,0,10.69,79,0,13.75
02/10/2015 05:05,1026,0,0,0,10.54,79,0,13.75
02/10/2015 05:06,1026,0,0,0,10.52,79.6,0,13.75
02/10/2015 05:07,1026,0,0,0,10.61,79.8,0,13.75
02/10/2015 05:08,1026,0,0,0,10.61,80,0,13.75
02/10/2015 05:09,1026,0,0,0,10.75,80,0,13.76
02/10/2015 05:10,1026,0,0,0,10.81,79.7,0,13.75
02/10/2015 05:11,1026,0,0,0,10.77,79.7,0,13.76
02/10/2015 05:12,1026,0,0,0,10.86,79.6,0,13.75
02/10/2015 05:13,1026,0,0,0,10.88,79.4,0,13.76
02/10/2015 05:14,1026,0,0,0,10.95,79.3,0,13.75
02/10/2015 05:15,1026,0,0,0,10.9,79.1,0,13.75
02/10/2015 05:16,1026,0,0,0,10.94,78.9,0,13.75
02/10/2015 05:17,1026,0,0,0,10.9,79,0,13.76
02/10/2015 05:18,1026,0,0,0,10.91,79,0,13.75
02/10/2015 05:19,1026,0,0,0,10.92,78.9,0,13.75
02/10/2015 05:20,1026,0,0,0,10.82,78.7,0,13.75
02/10/2015 05:21,1026,0,0,0,10.71,78.7,0,13.75
02/10/2015 05:22,1026,0,0,0,10.6,78.8,0,13.76
02/10/2015 05:23,1026,0,0,0,10.59,79.3,0,13.75
02/10/2015 05:24,1026,0,0,0,10.56,79.2,0,13.75
02/10/2015 05:25,1026,0,0,0,10.39,78.9,0,13.75
02/10/2015 05:26,1026,0,0,0,10.25,78.9,0,13.75
02/10/2015 05:27,1026,0,0,0,10.17,78.9,0,13.75
02/10/2015 05:28,1026,0,0,0,10.09,78.9,0,13.76
02/10/2015 05:29,1026,0,0,0,9.99,78.9,0,13.76
02/10/2015 05:30,1026,0,0,0,9.92,79,0,13.75
02/10/2015 05:31,1026,0,0,0,9.84,79.2,0,13.76
02/10/2015 05:32,1026,0,0,0,9.83,79.3,0,13.76
02/10/2015 05:33,1026,0,0,0,9.78,79.4,0,13.76
02/10/2015 05:34,1026,0,0,0,9.75,79.6,0,13.76
02/10/2015 05:35,1026,0,0,0,9.73,79.6,0,13.76
02/10/2015 05:36,1026,0,0,0,9.71,79.9,0,13.76
02/10/2015 05:37,1026,0,0,0,9.76,80.3,0,13.76
02/10/2015 05:38,1026,0,0,0,9.97,81.1,0,13.76
02/10/2015 05:39,1026,0,0,0,10.02,81,0,13.76
02/10/2015 05:40,1026,0,0,0,10.04,81.2,0,13.76
02/10/2015 05:41,1026,0,0,0,10.14,81.5,0,13.76
02/10/2015 05:42,1026,0,0,0,10.17,81.5,0,13.76
02/10/2015 05:43,1026,0,0,0,10.18,81.5,0,13.76
02/10/2015 05:44,1026,0,0,0,10.26,81.7,0,13.76
02/10/2015 05:45,1026,0,0,0,10.3,81.9,0,13.76
02/10/2015 05:46,1026,0,0,0,10.37,81.9,0,13.76
02/10/2015 05:47,1026,0,0,0,10.38,82,0,13.76
02/10/2015 05:48,1026,0,0,0,10.46,82,0,13.76
02/10/2015 05:49,1026,0,0,0,10.43,82,0,13.76
02/10/2015 05:50,1026,0,0,0,10.48,82,0,13.76
02/10/2015 05:51,1026,0,0,0,10.52,82.2,0,13.76
02/10/2015 05:52,1026,0,0,0,10.51,82.1,0,13.76
02/10/2015 05:53,1026,0,0,0,10.53,82.2,0,13.77
02/10/2015 05:54,1026,0,0,0,10.59,82.5,0,13.76
02/10/2015 05:55,1026,0,0,0,10.59,82.6,0,13.76
02/10/2015 05:56,1026,0,0,0,10.58,82.8,0,13.76
